2025-04-19 10:20:55,329 - ERROR - Failed to insert DOC-20250403-WA0028.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:55,400 - INFO - Copied DOC-20250403-WA0029.pdf to Uploads\user_1\DOC-20250403-WA0029.pdf
2025-04-19 10:20:55,404 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,405 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,406 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,408 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,409 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,409 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,410 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,411 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,411 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,412 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,520 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,521 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,521 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,521 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,522 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,522 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,523 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,523 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,523 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,523 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,525 - ERROR - Failed to insert DOC-20250403-WA0029.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:55,560 - INFO - Copied DOC-20250403-WA0033.pdf to Uploads\user_1\DOC-20250403-WA0033.pdf
2025-04-19 10:20:55,567 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,569 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,574 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,577 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,578 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,580 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,582 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,584 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,585 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,586 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,587 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,588 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,589 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,607 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,612 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,623 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,627 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,630 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,639 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,663 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,679 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,697 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,727 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,742 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,754 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,757 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,760 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,763 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,770 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,773 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,777 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,778 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,779 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,780 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,780 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,785 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,788 - WARNING - CropBox missing from /Page, defaulting to MediaBox
